Esai,Label Asli,Prediksi,Keterangan
"saya lebih sering belajar dirumah, dan lebih nyaman ketika belajar sendiri, atau bisa juga belajar bersama orang lain | cara saya memahami materi dengan membaca isi ringkasan yang terkait dengan materi tersebut, saya lebih suka memahami materi melalui mendengar kan penjelasan dari guru/pengajar  | suasana belajar yang saya sukai ketika suasana sepi dan sunyi sangat cocok dengan saya karena jadi lebih fokus dan bisa lebih memahami materi nya | saya akan mencoba menyelesaikan nya sendiri terlebih dahulu, atau mencari solusi dengan bertanya ke guru/pengajar les | sikap saya saat berada di lingkungan belajar baru adalah beradaptasi terlebih dahulu",V,K,Salah
"Saya biasa belajar setiap hari Rabu-Sabtu di kamar saya dengan suasana yang hening, saya lebih suka belajar sendiri karena bisa lebih fokus | dengan cara dijelaskan oleh guru/orang lain lalu saya pelajari lagi dan saya rangkum, lalu saya perdalam lagi dengan cara berlatih melalui latihan soal dsb | setelah saya coba belajar di lingkungan yang ramai, saya pikir saya lebih fokus untuk belajar di lingkungan yang tenang karena menurut saya tidak gampang terganggu dengan materi yang sedang saya pelajari  | saat saya menghadapi kesulitan dalam belajar saya mencoba untuk mencari solusi terlebih dahulu dengan cara mencari di internet, namun jika masih belum memahami saya akan meminta bantuan guru saya untuk menjelaskan  | Dari pengalaman belajar selama ini, saya menyadari bahwa saya adalah tipe pelajar yang dapat belajar dengan sks (sistem kebut semalam). Saya juga menyadari bahwa saya lebih dapat memahami materi dengan cara merangkumnya. Namun, saya juga menyadari kelemahan saya, yaitu mudah terdistraksi oleh ponsel saya. 

Oleh karena itu saya ingin mengubah cara belajar saya, yakni dengan membatasi waktu bermain ponsel saat jam belajar saya. Sementara itu, hal yang ingin saya pertahankan adalah kebiasaan membuat jadwal belajar yang terstruktur karena sangat membantu manajemen waktu saya.

Saat berada di lingkungan belajar baru, sikap saya adalah tetap terbuka, mudah beradaptasi, dan proaktif. Saya akan berusaha cepat akrab dengan teman-teman baru, mengamati norma atau aturan kelas yang berlaku, serta tidak ragu untuk bertanya kepada guru atau teman jika ada hal yang belum saya pahami",R,K,Salah
"saya belajar lebih nyaman sendiri ditempat sepi dan tenang agar saya bisa fokus | saya sering sekali memahami materi dengan cara menulis kembali materi atau memehami konsep materi | suasana yang tenang aman nyaman seperti dialam dikamar ditempat yang tenang dan sepi | saya sering sekali mudah lupa tetapi saya berusaha mengingat"" sampai ingat jika saya benar"" lupa saya pasti tanya ketmn  | saya orang yang ceria membuat tmen saya tertawa saat belajar tidak cenderung tegang",R,K,Salah
"Dengerin musik sambil belajar mojok di kamar sendiri itu rasanya tenang, nyaman, damai, dan tentram banget. Buat mahamin materi, aku suka dijelasin langsung tatap muka, tapi maksimal berdua aja, soalnya kalau kebanyakan malah susah nangkepnya. Aku suka kombinasi dengerin penjelasan plus belajar mandiri, asal jangan di tempat yang terlalu rame. Belajar sambil dengerin musik tuh best banget, dan walau belajar bareng orang lain, sebisa mungkin tetep nyari spot yang sepi. Kalau ada masalah, aku lumayan sering minta tolong orang lain, meski kadang aku ulik sendiri dulu. Mentok nggak mudeng, baru deh nanya. Dari pengalamanku, aku gampang nangkep kalau belajarnya santai tapi tetep fokus. Rencananya aku mau ngurangin kebiasaan nunda-nunda tugas biar lebih disiplin. Tapi rasa excited buat belajar hal baru itu yang bakal terus aku pertahanin. Di tempat baru, aku coba menyesuaikan diri, tetep sopan, dan pelan-pelan mulai berani sosialisasi.",K,R,Salah
"Malam hari, di tempat tenang, dan aku emang lebih nyaman belajar sendiri. Tapi lucunya, aku lebih suka kalau materinya dijelasin. Suasana yang aku cari tuh pasti yang tenang dan hening. Kalau nemu masalah, aku cooling down dulu, tenangin diri, baru dianalisis bagian mana yang belum ngerti. Kesimpulannya, aku tipe pelajar yang mandiri tapi butuh arahan dan struktur yang jelas. Aku juga baru sadar kalau aku lebih cepet nangkap kalau materinya disampein lewat visual atau langsung terjun praktik.",K,R,Salah
"Seringnya sih di rumah, standby di meja belajar kamar sekitar jam 7 malem. Suasananya sunyi, kadang bikin bosen kalau nggak ada temen, jadi biasanya aku akalin sambil dengerin musik. Tapi kalau belum malem banget dan ada waktu, aku sering ngajak temen nongkrong sambil belajar bareng. Soalnya belajar bareng tuh kerasa nyaman, ada temen curhat, jadi nggak ngebosenin. Caraku tuh bikin catetan baru dari materi, terus dibaca sampai bener-bener mudeng. Tapi diskusi tetep nomor satu, karena mikir bareng-bareng itu bikin lebih cepet ngerti. Spot favorit tuh mojok di kamar dengan lampu yang terang, itu naikin semangat belajarku yang bakal makin on kalau suasananya tenang. Trouble terbesarku tuh kalau dapet tugas yang jawabannya nggak ada di buku atau belom diajarin. Solusinya, aku nanya temen dulu, usahain kerjain sendiri, kalau nyerah baru cari tutorial di Google. Kekuranganku tuh gampang bosen dan kurang fokus kalau suasananya gitu-gitu aja, nah ini yang pengen aku perbaikin. Aku mau mertahanin rajin nyatetku, ningkatin time management belajarnya. Kalau di tempat baru, aku gampang nyaman kok asalkan spot-nya sepi dan ngedukung buat fokus.",K,R,Salah
"Caraku belajar tuh nyatet ulang baru dihafalin. Biasanya malem hari di kamar yang suasananya ya biasa aja sih. Lebih sreg sendiri soalnya jauh lebih fokus. Caraku paham itu dengan nonton YouTube, dicatet, baru ngerjain soal. Emang lebih suka belajar mandiri. Suasana favorit tuh malem yang sepi dan dingin, ada makanan, minuman, plus dengerin musik, pokoknya yang tenang gitu. Kalau mentok, nonton YouTube dulu, kalau masih blank baru nanya temen, intinya usahain ulik sendiri dulu. Nggak ada yang pengen diubah sih, cuma pengen nambah tingkat kefokusannya aja.",K,R,Salah
"Aku sih belajarnya flexible bisa di mana aja, tapi syarat utamanya harus tenang dan sendirian. Caraku belajar tuh pahamin soalnya dulu, terus dibaca, sama sedikit dihafal. Kalau ketemu itungan, aku prefer nonton video penjelasan sama contoh soalnya, abis itu dihajar pakai ngerjain soal sebanyak-banyaknya. Aku tipe yang punya pendekatan berlapis kalau belajar mandiri. Biar paham, aku lebih suka dengerin dari orang lain, bahkan bisa dengerin penjelasan lebih dari dua orang terus dibandingin jawabannya. Buat kesimpulan akhirnya, aku tetep cocokin lagi sama pemahamanku sendiri. Suasana malem yang sunyi itu juara banget sih, soalnya bikin pikiran lebih tenang dan nyaman kalau mau ""berantem"" sama pikiranku sendiri (alias mikir keras). Emang pada dasarnya aku suka lingkungan yang tenang. Kalau belajar, biasanya aku ngumpulin niat dulu dan ngejauhin HP. Materi yang susah bakal aku tanyain ke orang lain, minta contoh soalnya, aku kerjain, terus aku suruh mereka ngoreksi bener apa nggaknya. Dari sini aku belajar kalau pikiran kita kejaga, kita bakal gampang ngendaliinnya. Aku bakal terus usahain buat jaga pikiranku tetep rileks dan tenang. Sikapku kalau di lingkungan baru sih fleksibel aja, tinggal nyesuain sama bawaan diriku.",V,A,Salah
"Biasanya aku belajar di rumah dan sering lebih fokus kalau malam hari. Aku lebih suka belajar sendiri dalam suasana yang sepi dan tenang, walaupun kadang sambil dengar musik biar mood naik. Menurutku belajar sendiri lebih bikin fokus karena kalau bareng orang lain sering jadi banyak ngobrol. Untuk memahami materi, aku sering nonton video pembelajaran di rumah dan lebih suka kalau guru menjelaskan langsung, lalu ditambah belajar lewat video lagi supaya makin paham. Kondisi belajar favoritku fleksibel, kadang ingin benar-benar tenang, kadang ditemani musik atau film ringan. Kalau mengalami kesulitan, aku biasanya tanya teman dulu lalu mencoba memahami lagi bagian yang belum dimengerti. Di lingkungan baru aku masih perlu waktu buat beradaptasi sedikit demi sedikit.",K,V,Salah
"Aku biasanya belajar di kamar saat malam hari dengan suasana yang sunyi atau ditemani musik yang volumenya lumayan keras. Untuk memahami materi baru, aku lebih suka mendengarkan penjelasan guru dulu baru lanjut membaca sendiri secara mandiri. Aku nyaman belajar di tempat yang tenang dengan hanya ada suara musik karena tidak banyak gangguan yang bikin konsentrasi buyar. Kalau menghadapi kesulitan, aku akan mencoba menyelesaikannya sendiri dulu, lalu kalau masih belum bisa baru minta bantuan orang lain. Aku juga kurang suka kalau sedang fokus belajar tapi ada yang mengganggu. Sebenarnya belum ada yang ingin kuubah dari cara belajarku, hanya saja aku ingin mencoba lebih terbiasa belajar di tempat yang ramai seperti kelas karena selama ini gampang terdistraksi. Saat berada di lingkungan belajar baru, aku juga sering kehilangan fokus.",A,K,Salah
"Biasanya aku belajar di rumah sekitar jam tujuh atau delapan malam sampai jam sepuluh. Kalau besok ada ulangan atau ujian, waktu belajarku bisa lebih lama. Aku lebih suka belajar sendiri karena jadi lebih fokus dan tidak terganggu untuk mengobrol. Cara belajarku biasanya dengan menulis ulang materi dalam bentuk mind map dan lebih memilih belajar mandiri. Aku nyaman berada di lingkungan yang tenang tapi tidak terlalu sepi karena tetap terasa nyaman tanpa mengganggu konsentrasi. Kalau menemui kesulitan, aku akan mencoba menyelesaikannya sendiri dulu, lalu kalau benar-benar buntu baru bertanya kepada orang lain. Aku sadar kalau memahami materi bukan hal yang mudah bagiku, jadi aku berusaha mempertahankan kebiasaan belajar rutin minimal tiga puluh menit setiap hari. Saat berada di lingkungan baru, tingkat kenyamananku juga sangat dipengaruhi oleh suasana di sekitarnya.",V,K,Salah
"Aku lebih sering belajar di rumah dengan suasana yang cukup tenang dan memang lebih nyaman kalau sendirian. Untuk memahami materi, aku suka mendengarkan penjelasan dari orang lain lalu melanjutkannya dengan belajar mandiri. Tempat belajar favoritku adalah yang sepi, tenang, dan tidak terlalu panas karena lebih mendukung konsentrasi. Saat mengalami kesulitan, kadang aku mencari jawabannya di internet, tapi kadang juga meminta bantuan teman untuk mengajarkan materi yang belum kupahami. Aku sadar kalau masih sering merasa malas belajar dan ingin mengubah kebiasaan itu supaya lebih baik.",K,R,Salah
"Menurut saya, belajar sendiri membuat materi lebih mudah dipahami dan tersimpan di ingatan. Saya biasanya belajar dengan mendengarkan penjelasan melalui video. Saya lebih nyaman belajar sendiri. Saya lebih suka mengerjakan sesuatu secara mandiri. Saya merasa nyaman dengan cara belajar yang saya jalani sekarang.",A,K,Salah
"Saya biasanya belajar dengan menulis ulang poin-poin penting dan bisa belajar di mana saja selama suasananya nyaman. Saya lebih suka belajar bersama orang lain karena bisa berdiskusi ketika mengalami kesulitan. Untuk mata pelajaran seperti Matematika, Kimia, atau Fisika, saya cenderung mencatat materi secara lebih lengkap. Saya menyukai tempat yang sejuk, sunyi, dan tenang karena membantu saya berkonsentrasi. Saat mengalami kesulitan, saya akan mencoba menyelesaikannya sendiri terlebih dahulu sebelum bertanya kepada teman atau guru. Untuk saat ini tidak ada yang ingin saya ubah dari cara belajar saya. Di lingkungan baru, saya biasanya membutuhkan waktu untuk merasa nyaman dan fokus.",R,K,Salah
"Saya sering belajar bersama teman-teman di sekolah karena lebih mudah memahami materi ketika berdiskusi. Namun saat menghadapi ujian, saya lebih memilih belajar sendiri di tempat yang tenang agar bisa fokus dan mengingat materi dengan lebih baik. Saya biasanya memahami materi melalui diskusi dan bertanya kepada teman. Jika masih belum paham, saya mencari informasi melalui internet atau video pembelajaran. Saya juga lebih suka jika materi dijelaskan lalu dicatat agar lebih mudah dipelajari kembali. Suasana yang tenang membantu saya berkonsentrasi, tetapi saya juga bisa menikmati suasana ramai ketika bersama teman. Saat menemui materi yang sulit, saya akan belajar mandiri, mencari referensi tambahan, dan berdiskusi dengan teman. Saya ingin terus meningkatkan konsistensi belajar meskipun terkadang semangat belajar saya naik turun.",R,K,Salah
"Saya cukup sering belajar dengan sistem mendekati waktu ujian, tetapi juga mengikuti les privat di rumah yang membuat saya lebih leluasa bertanya. Untuk tugas besar saya lebih nyaman bekerja dalam kelompok, sedangkan tugas yang sederhana lebih suka saya kerjakan sendiri. Agar lebih memahami materi, saya biasanya membaca ulang sampai benar-benar paham, menghubungkannya dengan benda di sekitar, dan mendengarkan penjelasan dari orang lain. Saya lebih fokus belajar dalam suasana yang tenang karena keramaian mudah mengganggu konsentrasi saya. Ketika mengalami kesulitan, saya mencoba mencari penyebabnya terlebih dahulu, lalu meminta motivasi atau bantuan dari orang terdekat. Saya ingin mengurangi kebiasaan belajar mendadak menjelang ujian dan meningkatkan kedisiplinan belajar. Di lingkungan baru, saya biasanya cenderung lebih pendiam sampai merasa nyaman.",R,K,Salah
"Aku biasa belajar setiap hari Rabu sampai Sabtu di kamar dengan suasana hening. Aku lebih suka sendiri karena bisa lebih fokus. Caranya, dijelasin dulu sama guru atau orang lain, lalu aku pelajari lagi dan aku rangkum. Terus aku dalemin lagi dengan latihan soal, gitu. Setelah aku coba belajar di lingkungan yang ramai, aku ngerasa lebih fokus kalau di lingkungan yang tenang soalnya gak gampang terganggu sama materi yang lagi aku pelajari. Kalau lagi nemu kesulitan, aku coba cari solusi dulu di internet. Tapi kalau masih belum paham, aku minta guru buat ngejelasin. Dari pengalaman belajar selama ini, aku sadar kalau aku tipe pelajar yang bisa belajar pake SKS (sistem kebut semalam). Aku juga sadar lebih gampang paham materi dengan cara ngerangkum. Tapi kelemahannya, aku gampang ke distraksi sama hape. Makanya aku mau ngubah cara belajarku, yaitu dengan batasin waktu main hape pas jam belajar. Yang mau aku pertahankan adalah kebiasaan bikin jadwal belajar yang terstruktur karena itu sangat bantu manajemen waktuku. Kalau di lingkungan belajar baru, sikapku tetep terbuka, gampang adaptasi, dan proaktif. Aku bakal usahain cepet akrab sama teman-teman baru, ngamatin norma atau aturan kelas yang berlaku, dan gak ragu buat nanya ke guru atau teman kalau ada yang belum aku pahami.",R,K,Salah
