ID,Esai,Gaya Belajar,Tipe Kepribadian,,
1,"kebiasaan belajar ku sehari hari cuma belajar dirumah kalau engga di cafe & lebih merasa nyaman jika belajar dengan teman lain supaya bisa bertanya jika ada sesuatu yang tidak dimengerti | melihat penjelasan lebih detail di youtube atau ikut les | saat kelas dalam kondisi sepi atau tenang | mencoba menyelesaikan dengan sendiri tetapi jika tetap tidak tau maka bertanya kepada orang lain | ingin mengubah mood untuk belajar selalu bagus, karna mood mempengaruhi belajar ku",R,Ekstrovert,,
2,"sendiri karena lebih fokus  | diskusi, karena lebih banyak saran masuk | tenang, tidak terlalu berisik | sendiri, melatih diri sendiri | bersemangat karena mencari teman baru",V,Ekstrovert,,
3,"belajar di kamar biasaya sendirian, kadang menyetel musik, saya lebih nyaman bersama teman | lebih suka mendengarkan penjelasan orang lain | nyaman | tanya teman | ingin lebih rajin",A,Ekstrovert,,
4,"aku belajar dgn target, jdi aku buat plan apa yg harus ku kerjakan jdi nnti ter struktur, ya di kamar, suasana belajar sih tenang, nyaman sendiri | dengan membaca / mencari materi ttg itu, truss pahami lagi, abistu buat soal buat nguji pemahaman, belajar mandiri | tenang, yg tenang, lebih suka yg tenang | dengan melihat video cara yg lain, trus nyoba sendiri sampe ketemu jawabanya , gada yg bantu kecuali diri sendiri, nyelesain sendiri | belajar sabar, banyak hal pokonya, buat plan sblm belajar jdi terstruktur jelas, cenderung bisa beradaptasi ",R,Introvert,,
5,"saya lebih suka belajar bersama untuk mendapat banyak ilmu, tapi jika ingin fokus saya belajar sendiri | saya membaca dan memahami materi dengan baik, jika ndak tau tanya | tenang, fokus, dan mendengarkan musik | kalo udah mulai ga fokus, biasanya saya berhenti belajar selama 5 menit lalu jika sudah fokus lagi saya kembali belajar | saya plin plan, kadang percaya diri berlebihan kadang pesimis tapi yang pasti saya menyelesaikan apa yang sudah saya mulai",R,Introvert,,
6,belajar sm temen di coffeshoop  | membaca ulang agar dapat lebih memahami  | suasana yang tenang sepi  | mencoba menyelesaikan sendiri terlebih dahulu  | memahami lingkungan sekitar terlebih dahulu ,R,Ekstrovert,,
7,"Biasanya di kamar/ditempat les. Aku lebih suka suasana yang tenang dan ada iringan musik yang tenang. Aku lebih nyaman belajar sendiri, kalau pun bareng sama orang lain harus yang tenang ga banyak ngobrol. Soalnya menurut aku kalo terlalu banyak suara (kecuali suara musik/penjelasan) itu bisa ganggu fokus aku.  | Aku biasanya dibaca berkali kali, trus dibayangin. Aku lebih suka kalo denger penjelasan orang lain, terus aku ngejelasin lagi pake bahasa sendiri.  | Aku biasa harus suasana yang tenang yang bisa bikin mood belajar naik. Kalo di keadaan ramai aku kurang bisa belajar, lebih suka suasana yang tenang.  | Biasanya kalo sulit sama 1 materi aku suka berusaha sebisa aku dulu, kalo ternyata masih gabisa aku baru minta tolong diajarin temen. Atau kalo lagi belajar sendiri aku tetep berusaha nyelesain sendiri sampai bener bener selesai.  | Aku suka gaya belajar aku sih, gaada yang mau aku ubah. Ketika berada di lingkungan belajar yang baru, aku cukup bisa berbaur dan mengikuti lingkungan",A,Introvert,,
8,"bersama orang lain,karena bisa berdiskusi jika ada soal yang tidak saya mengerti  | melalui diskusi agar bisa mengetahui bersama-sama  | sebenarnya lebih tergantung ke mood hati jika ke 2 nya juga suka | meminta bantuan orang lain  | tetep fokus dan jangan pedulikan apa yang tidak mungkin terjadi",K,Ekstrovert,,
9,menurut saya kegiatan belajar saya biasanya berada di rumah atau tempat sepi dan suasana yang tenang karena jika suasana tenang lebih mudah untuk memahami materi dan saya lebih menyukai belajar sendiri dari pada belajar bersama” karena jika belajar bersama pasti tidak akan paham tp malah ngobrol | jika ada materi baru yang saya tidak paham maka saya akan tanyakan kepada guru atau teman yang sudah paham jika belum paham lagi saya akan menyoba mengerjakan latihan soal yang merupakan materi tersebut | suasana tenang karena ketenangan membuat fokus lebih naik | jika saya menghadapi kesulitan belajar maka saya akan menyelesaikan sendiri dengan cara beristirahat sejenak atau menghibur diri sendiri  agar mood dan fokus bisa naik dan kembali fokus | yang saya pelajari tentang diri saya sendiri adalah saya merasa agak pemalu atau pendiam terhadap orang baru sehingga ketika  ada orang yang mengajak berbicara terasa canggung dan saya mungkin akan merubah sikap tersebut dan menurut saya sikap saya tersebut saat di lingkungan baru mempunyai kelebihan dan kekurangannya ,K,Ekstrovert,,
10,Biasa saya belajar ditempat yang menyediakan minuma kesukaan saya | Saya biasanya butuh pemahaman yang tidak terburu” | Yang santai tidak terlalu menekan | Mengajak orang yang membuat saya nyaman untuk belajar | Ada saya punya cara belajar yang berbeda ,K,Ekstrovert,,
