Esai,Label Asli,Prediksi,Keterangan
"saya lebih sering belajar dirumah, dan lebih nyaman ketika belajar sendiri, atau bisa juga belajar bersama orang lain | cara saya memahami materi dengan membaca isi ringkasan yang terkait dengan materi tersebut, saya lebih suka memahami materi melalui mendengar kan penjelasan dari guru/pengajar  | suasana belajar yang saya sukai ketika suasana sepi dan sunyi sangat cocok dengan saya karena jadi lebih fokus dan bisa lebih memahami materi nya | saya akan mencoba menyelesaikan nya sendiri terlebih dahulu, atau mencari solusi dengan bertanya ke guru/pengajar les | sikap saya saat berada di lingkungan belajar baru adalah beradaptasi terlebih dahulu",Ekstrovert,Introvert,Salah
"dengerin musik sambil belajar dikamar sendiri jadi tenang nyaman damai tentram | jelasinnya secara tatap muka tapi cuman 2  orang doang klo banyak² susah paham nyaaa, suka yg mendengarkan penjelasan sama belajar mandiri tpi yg ga terlalu ramai  | belajar sambil dengerin musik, klo yg bareng² sebisa mungkin dilingkungan/tempat yg sepi  | sering meminta bantuan orang lain kadang nyelesaiin sendiri klo emg blm paham tanyaa | Dari pengalaman belajar selama ini, aku jadi tahu kalau aku lebih mudah paham kalau belajarnya santai tapi tetap fokus. Yang mau aku ubah mungkin kebiasaan suka nunda tugas, biar bisa lebih disiplin. Tapi yang mau aku pertahankan itu rasa semangat buat belajar hal baru. Kalau ada di lingkungan belajar baru, biasanya aku coba menyesuaikan diri, tetap sopan, dan pelan-pelan mulai berani buat bergaul sama orang lain.",Ekstrovert,Introvert,Salah
"Aku sebenernya lebih suka belajar bareng temen biar dapet banyak masukan, tapi kalau lagi butuh fokus banget, aku bakal milih belajar sendiri. Cara belajarku ya baca dan pahamin materinya, kalau mentok baru nanya. Suasana favoritku tuh yang tenang sambil dengerin musik biar asik. Kalau udah mulai nge-blank, aku biasanya break bentar sekitar 5 menitan, baru deh lanjut lagi kalau udah seger. Sifatku emang rada plin-plan sih, kadang pede abis tapi kadang ngerasa pesimis. Tapi yang pasti, aku bakal selalu nyelesain apa yang udah aku mulai.",Introvert,Ekstrovert,Salah
"Dengerin musik sambil belajar mojok di kamar sendiri itu rasanya tenang, nyaman, damai, dan tentram banget. Buat mahamin materi, aku suka dijelasin langsung tatap muka, tapi maksimal berdua aja, soalnya kalau kebanyakan malah susah nangkepnya. Aku suka kombinasi dengerin penjelasan plus belajar mandiri, asal jangan di tempat yang terlalu rame. Belajar sambil dengerin musik tuh best banget, dan walau belajar bareng orang lain, sebisa mungkin tetep nyari spot yang sepi. Kalau ada masalah, aku lumayan sering minta tolong orang lain, meski kadang aku ulik sendiri dulu. Mentok nggak mudeng, baru deh nanya. Dari pengalamanku, aku gampang nangkep kalau belajarnya santai tapi tetep fokus. Rencananya aku mau ngurangin kebiasaan nunda-nunda tugas biar lebih disiplin. Tapi rasa excited buat belajar hal baru itu yang bakal terus aku pertahanin. Di tempat baru, aku coba menyesuaikan diri, tetep sopan, dan pelan-pelan mulai berani sosialisasi.",Ekstrovert,Introvert,Salah
"Kebiasaanku tuh belajar malam-malam di kamar soalnya suasananya lebih tenang dan enak buat mikir. Kayak sekarang nih, di sekitarku lumayan sepi, jadi gampang buat konsentrasi. Aku juga lebih sreg belajar sendiri karena bisa nentuin speed belajarku sesuka hati tanpa gampang ke-distraksi temen. Kalau nemu bab baru, aku intip garis besarnya dulu, baru nyatet poin penting sama jajal latihan soal. Aku milih belajar mandiri dulu di awal biar fokus nangkap dasar konsepnya, walau sebenernya seneng-seneng aja kalau dengerin penjelasan orang pas nemu bagian yang susah. Kondisi favorit tuh yang tenang dan rapi, kayak di kamar yang pencahayaannya pas. Di meja paling cuma ada buku, laptop, sama air putih. Suasana rileks gini bikin fokus gampang ngumpul. Aku jauh lebih produktif dan semangat kalau di tempat sepi dibanding keramaian. Kalau lagi stuck pas belajar, always ulik sendiri dulu baca ulang materi atau nge-googling. Mentok, baru nanya temen atau guru. Internet dan video tutorial itu bener-bener lifesaver buat nemu solusinya. Aku sadar kalau aku ini pelajar mandiri yang haus ketenangan, habit mandiri ini pengen kupertahanin, tapi mau stop nunda-nunda belajar. Di lingkungan baru, aku stay open, merhatiin sekitar dulu, baru pelan-pelan nyampur sama temen-temen.",Ekstrovert,Introvert,Salah
"Biasanya aku belajar di rumah setelah Maghrib atau Isya dengan suasana yang ramai tapi nggak terlalu berisik. Aku lebih nyaman belajar sendiri karena jadi lebih fokus. Kalau mengalami kesulitan, aku biasanya cari cara penyelesaiannya di internet lalu dipelajari sampai benar-benar paham. Aku juga lebih mudah memahami materi kalau mendengarkan penjelasan dari orang lain. Suasana belajar yang paling kusuka adalah tempat yang tenang sambil mendengarkan musik dengan volume kecil supaya tetap fokus. Saat kesulitan, aku cukup sering meminta bantuan orang lain. Hal yang ingin aku tingkatkan dari diriku adalah kemampuan mengingat saat belajar.",Ekstrovert,Introvert,Salah
"Aku lebih sering belajar di rumah dan biasanya lebih nyaman kalau belajar sendiri, walaupun kadang juga bisa belajar bareng orang lain. Cara yang biasa kulakukan untuk memahami materi adalah membaca ringkasan yang berkaitan dengan pelajaran tersebut. Selain itu, aku juga lebih suka mendengarkan penjelasan langsung dari guru atau pengajar. Suasana belajar favoritku adalah tempat yang sepi dan sunyi karena bikin lebih fokus dan mudah memahami materi. Kalau menghadapi kesulitan, aku akan mencoba menyelesaikannya sendiri dulu atau mencari solusi dengan bertanya kepada guru atau pengajar les. Saat berada di lingkungan belajar yang baru, biasanya aku memilih beradaptasi terlebih dahulu.",Ekstrovert,Introvert,Salah
"Dalam keseharian, aku lebih suka belajar sendiri dengan suasana yang tenang karena lebih nyaman. Kalau mempelajari materi baru, aku biasanya lebih suka mendengarkan penjelasan orang lain terlebih dahulu sebelum memahaminya sendiri. Menurutku, yang paling membantu saat belajar adalah fokus dan konsentrasi dari diri sendiri. Saat menghadapi kesulitan belajar rasanya memang cukup berat, tapi aku merasa cara belajarku masih bisa diubah dan disesuaikan dengan kebutuhan.",Ekstrovert,Introvert,Salah
"Aku lebih senang belajar sendiri di rumah daripada bersama orang lain. Biasanya aku memahami materi dengan belajar mandiri menggunakan sumber yang jelas dan latihan soal sebagai pendukung. Aku juga lebih nyaman kalau suasana belajarnya sepi tanpa gangguan dari orang sekitar. Kalau menghadapi materi yang sulit, aku lebih suka dijelaskan terlebih dahulu oleh orang lain sebelum mencoba menyelesaikannya sendiri. Untuk menjaga semangat belajar, aku biasanya dibantu orang lain dan kadang memutar musik supaya tidak cepat bosan.",Introvert,Ekstrovert,Salah
"Aku biasanya belajar di kamar atau ruang tamu dengan suasana yang tenang sambil mendengarkan musik. Aku lebih nyaman belajar sendiri karena bisa lebih fokus. Untuk memahami materi, aku suka mendengarkan penjelasan dari orang lain lalu mencoba mempelajarinya sendiri, bahkan kadang membantu orang lain supaya aku juga makin paham. Aku paling semangat kalau belajar di tempat yang hening dan santai tanpa gangguan karena lebih mudah berkonsentrasi. Saat mengalami kesulitan, aku akan mencoba menyelesaikannya sendiri terlebih dahulu, lalu kalau benar-benar belum yakin baru bertanya kepada orang lain. Ke depannya aku ingin mengurangi kebiasaan terlalu sering fokus ke HP dan tetap mempertahankan cara belajarku yang santai ditemani musik dan minuman.",Ekstrovert,Introvert,Salah
"Biasanya aku belajar malam hari dengan suasana yang tenang sambil mendengarkan musik karena membuatku lebih nyaman saat mengerjakan tugas. Aku lebih mudah memahami materi kalau guru menjelaskan langsung di papan tulis secara rinci dan jelas. Kondisi belajar favoritku adalah tempat yang sejuk, tenang, dan ditemani musik. Kalau menghadapi kesulitan, aku berusaha mengumpulkan niat dulu lalu mencari bantuan lewat Google sebelum mencoba menyelesaikannya sendiri. Sejauh ini aku merasa sudah cocok dengan cara belajarku dan lebih memilih menyesuaikan mood maupun tempat belajar sesuai kondisi.",Ekstrovert,Introvert,Salah
"Aku lebih sering belajar di rumah. Lebih nyaman kalau sendiri, tapi kadang juga bareng orang lain. Cara pahamku: baca ringkasan materi yang terkait. Tapi sebenarnya aku lebih suka memahami materi lewat mendengarkan penjelasan dari guru atau pengajar. Suasana belajar yang paling aku suka adalah yang sepi dan sunyi, soalnya itu cocok banget buatku. Jadi lebih fokus dan lebih bisa paham materi. Kalau ada masalah, aku bakal coba selesaiin sendiri dulu, atau cari solusi dengan nanya guru/pengajar les. Sikapku kalau di lingkungan belajar baru adalah adaptasi dulu. ",Ekstrovert,Introvert,Salah
