ID,Esai,Gaya Belajar,Tipe Kepribadian
1,"Saya lebih suka belajar sendiri karena lebih fokus  | diskusi, karena lebih banyak saran masuk | tenang, tidak terlalu berisik | Saya mudah memahami materi baru dengan memperhatikan ketika guru sedang menjelaskan, jika belum memahami materi saya akan mengulangnya dengan menonton tutorial dari youtube | bersemangat karena mencari teman baru",V,Ekstrovert
2,"belajar dirumah biasanya setelah maghrib / isya, ramai namun tdk terlalu berisik. lebih nyaman sendiri karena lebih fokus | waktu kesusahan mengerjakan biasanya search caranya lalu dikerjakan sampai paham. lebih paham ketika mendengarkan penjelasan dri org lain | kondisi tenang dgn mendengarkan musik dgn suara kecil agar tdk terlalu mengganggu fokus. lebih ke suasana yg tenang | lebih sering meminta bantuan | ingin meningkatkan cara belajar mengingat",V,Ekstrovert
3,"saya biasanya belajar disekolah dan di kamar, saat dikamar cenderung belajar pd malam hari karena pagi hingga sore di sekolah, suasana belajar di rumah lebih tenang, saya suka belajar sendiri dan juga diskusi dengan orang lain untuk mendapat solusi | jika dengan belajar sendiri saya merasa kurang, saya akan bertanya dengan teman saya yg memungkinkan paham dengan materi, atau bertanya kpd guru les saya secara pribadi, dengan itu saya akan lebih paham dgn materi yg diujikan | saya lebih suka belajar dengan tenang, didalam kamar yang tertutup dgn sedikit cemilan, itu akan membuat saya lebih fokus dalam mendalami materi | saat saya merasa kesulitan dalam belajar, saya akan mencoba menyelesaikan nya sendiri dengan bantuan internet, jika dirasa masih kurang paham dengan materi saya akan bertanya secara pribadi kepada guru | saya akan mengubah metode belajar saya, dengan menjadi lebih giat dan konsisten dalam mendalami materi ",V,Introvert
4,"saya lebih sering belajar dirumah, dan lebih nyaman ketika belajar sendiri, atau bisa juga belajar bersama orang lain | cara saya memahami materi dengan membaca isi ringkasan yang terkait dengan materi tersebut, saya lebih suka memahami materi melalui mendengar kan penjelasan dari guru/pengajar  | suasana belajar yang saya sukai ketika suasana sepi dan sunyi sangat cocok dengan saya karena jadi lebih fokus dan bisa lebih memahami materi nya | saya akan mencoba menyelesaikan nya sendiri terlebih dahulu, atau mencari solusi dengan bertanya ke guru/pengajar les | sikap saya saat berada di lingkungan belajar baru adalah beradaptasi terlebih dahulu",V,Ekstrovert
5,"saya sering belajar dikamar pada malam hari, saat suasana rumah tenang, saya lebih nyaman belajar sendiri ketika pelajaran mudah untuk saya pahami, tapi ketika pelajaran susah dipahami saya lebih suka belajar bersama teman | saya akan membaca dan mencari pemahaman lewat internet, saya lebih suka belajar mandiri tetapi ketika menemukan materi yang susah untuk dipahami saya lebih suka melalui diskusi/mendengarkan penjelasan orng lain | di kamar dengan sedikit cemilan dngn suasana tenang  | pertama saya akan mencari lewat internet, jika saya masih merasa kesulitan saya akan meminta bantuan kepada teman dekat. saya lebih sering mencoba menyelesaikan sendiri terlebih dahulu  | mengubah cara belajar dengan belajar lebih giat",V,Introvert
6,"Aku biasanya belajar dirumah, dan waktu belajarku adalah di jam 7/8-10 malam, tetapi jika ada kebutuhan belajar mendesak sprti besok ada ulangan harian/ujian sekolah, maka saya akan belajar lebih lama dan saya lebih suka belajar sendirian karna fokus saya tidak akan teralihkan untuk mengobrol | menulis materi ulang dengan mindmaping dan saya lebih suka belajar secara mandiri | Saya suka berada dilingkungan yang tenang tapi tidak terlalu sepi, karna tidak membuat saya terganggu | Ketika saya mendapat kesulitan dlm belajar, saya akan mencoba terlebih dahulu tp kalau sudah tidak menemukan solusi maka saya akan bertanya kpd orang lain | Sbgai pelajar saya sangat mengerti bahwa saya bukanlah orang yang mudah memahami suatu materi, yang saya pertahankan selama ini adalah konsisten dalam belajar setidaknya 30mnt sehari dirumah untuk sekedar mengulang materi yang penting, sikap saya saat berada di lingkungan baru adalah tergantung lingkungannya, jika lingkungannya tenang maka saya akan sangatt nyaman",V,Ekstrovert
7,"Aku biasanya belajar dirumah, dan waktu belajarku adalah di jam 7/8-10 malam, tetapi jika ada kebutuhan belajar mendesak sprti besok ada ulangan harian/ujian sekolah, maka saya akan belajar lebih lama dan saya lebih suka belajar sendirian karna fokus saya tidak akan teralihkan untuk mengobrol | menulis materi ulang dengan mindmaping dan saya lebih suka belajar secara mandiri | Saya suka berada dilingkungan yang tenang tapi tidak terlalu sepi, karna tidak membuat saya terganggu | Ketika saya mendapat kesulitan dlm belajar, saya akan mencoba terlebih dahulu tp kalau sudah tidak menemukan solusi maka saya akan bertanya kpd orang lain | Sbgai pelajar saya sangat mengerti bahwa saya bukanlah orang yang mudah memahami suatu materi, yang saya pertahankan selama ini adalah konsisten dalam belajar setidaknya 30mnt sehari dirumah untuk sekedar mengulang materi yang penting, sikap saya saat berada di lingkungan baru adalah tergantung lingkungannya, jika lingkungannya tenang maka saya akan sangatt nyaman",V,Ekstrovert
8,"Otodidak memanfaatkan Media Sosial | dnegan sering meringkas dan membaca ulang catatan yg ditulis | aktif saling tanya jawba | terkadang susah me manage waktu, dan lebuh sering menyelesaikannya sendiri dan menjadikannya bahas evaluasi | ada, lebih memanfaatkan waktu untuk  membaca dan ber adaptasi dengan cara belajar baru",V,Ekstrovert
9,"saya biasanya belajar bisa dimana saja namun harus ditempat yang tenang dan sendiri, saya biasanya belajar dengan memahami soalnya terlebih dahulu lalu membaca dan sedikit menghafal. jika tentang hitungan saya lebih ke menonton vidio penjelasan dan contoh soal lalu mengerjakan sebanyak banyaknya.  | saya melakukan pendekatan secara berlapis tentang belajar mandiri. saya lebih suka memahami melalui pendengaran dari orang lain dan saya akau mendengarkan lebih dari 2orng lalu membandingkan jawaban mereka, untuk jawaban akhir saya lebih suka membandingkan dengan diri sendiri.  | kondisi saat malam hari yang sunyi saya suka karena itu membuat pikiran lebih tenang dan lebih nyaman untuk beradu argumen dengan pikiran saya sendiri. saya biasanya cenderung suka lingkungan yang tenang.  | biasanya saya akan mengumpulkan niat terlebih dahulu dan saya akan menjauh dari hp. materi yg tidk saya pahami saya akn meminta penjelasan dari orang lain lalu meminta contoh soal lalu saya mengerjakan dan saya minta untuk minta pembetulan dari orang tersebut.  | saya mempelajari bahwa selama pikiran kita terjaga maka kita akan mudah mengendalikannya dan saya akan selalu berusaha untuk menjaga pikiran saya tetap tenang dan rileks. saya akn mempertahankannya. sikap saya slama ini pada lingkungan belajar baru bisa saya sesuaikan tergantung dengan diri saya sendiri. ",V,Introvert
10,"aku biasanya belajar di sekolah, dimulai dari jam 7 pagi dan selesai belajar jam setengah 4 sore. Suasana di sekitar ku biasanya ramai dan asik, jadi aku lebih suka belajar bersama orang lain daripada belajar sendiri | aku biasanya kalau ingin memahami materi itu langkah awal pasti aku bertanya kepada yang bersangkutan, atau ngga aku lihat materi di google atau lihat video penjelasan di YouTube  | aku lebih suka suasana yang tenang saat belajar, karena suasana tenang ga bikin aku kepikiran hal lain saat belajar. belajar sambil dengerin lagu, top tier ⭐️⭐️⭐️ | aku ketika menghadapi tantangan belajar pasti aku coba dulu sendiri, kalau bingung banget baru aku tanya ke guru atau pembimbing di kelas | mungkin aku mau merubah diriku yang lemot ini kalau lagi pelajaran, soalnya kadang kaya orang bingung #jujur",V,Ekstrovert
1,"belajar di kamar biasaya sendirian, kadang menyetel musik, saya lebih nyaman bersama teman | lebih suka mendengarkan penjelasan orang lain | nyaman | tanya teman | ingin lebih rajin",A,Ekstrovert
