Esai,Label Asli,Prediksi,Keterangan
"aku belajar dgn target, jdi aku buat plan apa yg harus ku kerjakan jdi nnti ter struktur, ya di kamar, suasana belajar sih tenang, nyaman sendiri | dengan membaca / mencari materi ttg itu, truss pahami lagi, abistu buat soal buat nguji pemahaman, belajar mandiri | tenang, yg tenang, lebih suka yg tenang | dengan melihat video cara yg lain, trus nyoba sendiri sampe ketemu jawabanya , gada yg bantu kecuali diri sendiri, nyelesain sendiri | belajar sabar, banyak hal pokonya, buat plan sblm belajar jdi terstruktur jelas, cenderung bisa beradaptasi ",Introvert,Introvert,Benar
belajar sm temen di coffeshoop  | membaca ulang agar dapat lebih memahami  | suasana yang tenang sepi  | mencoba menyelesaikan sendiri terlebih dahulu  | memahami lingkungan sekitar terlebih dahulu ,Ekstrovert,Ekstrovert,Benar
"Saya lebih nyaman belajar sendiri karena bisa lebih fokus dan tidak mudah terganggu. Biasanya saya belajar di sekolah dan kamar pada malam hari saat suasana rumah sudah tenang. Dengan belajar sendiri, saya bisa memahami materi sesuai kecepatan saya sendiri. | Saya lebih mudah memahami materi dengan mendengarkan penjelasan orang lain, seperti guru atau teman. Biasanya saya mendengarkan dengan baik, lalu mencatat poin penting agar lebih mudah diingat. Setelah itu, saya mencoba membaca kembali materi dan mengulangnya supaya benar-benar paham. Saya lebih suka cara ini karena penjelasan langsung membuat materi terasa lebih jelas dan mudah dimengerti. | Saya lebih suka belajar dalam suasana tenang karena membuat saya lebih fokus. Biasanya saya belajar di kamar agar tidak terganggu. Suasana tenang membantu saya lebih mudah memahami materi. | Saat mengalami kesulitan belajar, saya biasanya mencoba memahaminya sendiri terlebih dahulu dengan membaca ulang materi atau mencari penjelasan di internet. Jika masih belum paham, saya baru meminta bantuan orang lain. | Dari pengalaman belajar, saya mengetahui bahwa saya lebih fokus belajar sendiri dalam suasana tenang. Saya ingin mempertahankan kebiasaan belajar yang teratur dan mencoba beradaptasi dengan baik di lingkungan belajar baru.",Introvert,Introvert,Benar
"Kebiasaan belajar saya dengan metode membuat rangkumann lalu menghafalkan, biasanya saya belajar di kamar setiap malam atau setiap ada waktu luang, suasana haruss sepi. Saya lebih menyukai belajar sendiri karena membuat saya lebih fokus dalam memahami materi.  | Cara memahami dengan membaca terlebih dahulu lalu melihat contoh soal penyelesaian jika dirasa kurang faham biasanya melihat video youtube lalu mencatat danmengerjakan soal soal . Untuk memahami materi saya lebih suka belajar mandiri tapi terkadang membutuhkan penjelasan orang lain untuk lebih mudah dalam memahami.  | Kondisi belajar yang saya sukai itu haruss sepi, sunyi, santaii. Saya menyukai suasana itu karena membuat sayaa lebih mudah memahami materi dan lebih enjoy dalam belajar. Saya lebih bersemangat di lingkungan yang tenang. | Ketika saya mengalami kesulitan dalam belajar saya akan istirahat sebentar sekedar keluar kamar atau membuat makanan yang lezat lalu saya akan coba mengulangi apa yang kurang paham dari materi, melihatt video penjelasan di yt dan terus berusaha memahami lewat soal soal. Saya lebih sering mencoba menyelesaikan sendirii karena saya tidak terbiasa untuk selalu bertanya kepada orang lain. Tetapi jika saya sudah benar"" tidak bisa saya akan bertanya dan meminta bantuan.  | Yang saya pelajari adalah saya mengerti bahwa saya orang yang perfeksionis sehingga ketika ingin belajar saya harus mempersiapkan semuanya dengan matang dan harus sudah memiliki planning yang jelas (apa saja yang akan saya pelajari dan materi apa saja yang harus saya siapkan). Saya akan mengubah kebiasaan menunda atau kebiasaan terlalu perfect sehingga lama dalam belajar dan memulai belajar. Sikap saya yaitu menyesuaikan dengan siapa dan sebisa mungkin menjaga diri agar tidak sombong tetapi juga tidak terlihat rendah diri. ",Introvert,Introvert,Benar
"Kebiasaan belajarku sehari-hari biasanya dilakukan pada malam hari setelah semua kegiatan selesai. Aku lebih sering belajar di kamar karena suasananya lebih tenang dan membuatku lebih fokus. Saat belajar, suasana di sekitarku cenderung sepi, meskipun kadang masih terdengar suara televisi atau aktivitas keluarga dari luar kamar. Aku biasanya mulai belajar dengan mengulang materi yang sudah diajarkan di sekolah, lalu mengerjakan tugas atau latihan soal. Aku lebih nyaman belajar sendiri karena bisa lebih fokus dan mengatur waktu sesuai keinginanku. Belajar sendiri juga membuatku lebih mudah memahami materi dengan caraku sendiri tanpa terganggu obrolan. Namun, sesekali aku juga suka belajar bersama teman jika ada materi yang sulit. | Cara saya memahami materi pelajaran baru biasanya dimulai dengan membaca atau melihat gambaran umumnya terlebih dahulu supaya tahu inti materi yang akan dipelajari. Setelah itu, saya mencoba mendengarkan penjelasan guru dengan fokus dan mencatat poin-poin penting yang menurut saya sulit atau perlu diingat. Langkah berikutnya, saya biasanya mencoba mengerjakan soal latihan. Saya lebih nyaman memahami materi melalui kombinasi mendengarkan penjelasan orang lain dan belajar mandiri. Mendengarkan penjelasan guru atau teman membantu saya memahami dasar materinya dengan lebih cepat, sedangkan belajar mandiri membuat saya lebih bebas mengulang bagian yang belum dipahami. | Kondisi belajar yang paling aku sukai adalah suasana yang tenang dan sepi karena membuatku lebih mudah fokus. Biasanya aku belajar di kamar atau di tempat yang minim gangguan suara. Di sekitarku biasanya hanya ada meja belajar, buku, laptop atau handphone untuk mencari materi. Kadang aku juga mendengarkan musik pelan agar lebih rileks saat belajar. Aku merasa suasana yang sepi cocok untukku karena aku jadi lebih mudah memahami materi dan tidak terdistraksi oleh hal-hal di sekitar. Saat keadaan tenang, aku bisa lebih berkonsentrasi, berpikir dengan jelas, dan menyelesaikan tugas dengan lebih cepat. Dibandingkan lingkungan yang ramai, aku lebih bersemangat belajar di tempat yang tenang karena pikiranku terasa lebih rileks dan tidak mudah terpecah fokusnya. Dengan suasana seperti itu, aku jadi lebih mudah memahami pelajaran dan hasil belajarku terasa lebih maksimal. | Ketika menghadapi kesulitan atau tantangan dalam belajar, biasanya aku mencoba memahami dulu bagian mana yang belum aku mengerti. Aku akan membaca ulang materi, melihat contoh soal, atau mencari penjelasan dari internet dan video pembelajaran agar lebih paham. Kalau masih sulit, aku mencoba mengerjakan secara perlahan. Biasanya aku juga mencari solusi dengan berdiskusi bersama teman atau bertanya kepada guru. Menurutku, mendengarkan penjelasan dari orang lain kadang membuat materi yang sulit jadi lebih mudah dimengerti. Aku lebih sering mencoba menyelesaikannya sendiri terlebih dahulu karena ingin melatih kemampuan berpikir dan memahami materi secara mandiri. Namun, jika setelah mencoba tetap belum paham, aku tidak ragu untuk meminta bantuan orang lain.  | Dari pengalaman belajar selama ini, aku menyadari kalau aku lebih mudah fokus saat suasana tenang dan memahami materi dengan belajar mandiri terlebih dahulu. Aku juga termasuk orang yang cukup teliti dan suka mencoba memahami sampai benar-benar paham. Yang ingin aku pertahankan adalah kebiasaan belajar rutin, sedangkan yang ingin aku ubah adalah kebiasaan menunda belajar saat merasa malas. Saat berada di lingkungan belajar baru, aku biasanya mencoba beradaptasi dengan tenang, memperhatikan suasana sekitar, dan mulai mengenal teman-teman baru sedikit demi sedikit.",Introvert,Introvert,Benar
"saya lebih nyaman belajar sendiri karena lebih tenang dirumah pada saat selesai aktivitas atau pekerjaan rumah maupun diluar rumah. | saya lebih suka mendengarkan penjelasan orang lain dan ketika saya tidak paham saya akan mencari contoh contoh soal tentang materi itu tersebut. | saya lebih suka suasana tenang karna saat suasana tenang pikiran dan cara berfikir lebih santai dan ga terburu buru. | saya tida sering meminta bantuan kepada orang lain selagi saya bisa sendiri,jika saya menghadapi kesulitan dan tantangan saya biasanya bertanya kepada guru bimble saya atau temen yang sudah paham. | saya akan mempertahankan dengan kebiasaan yang membuat ku nyaman saat belajar seperti ditempat yang sepi dan tenang.",Ekstrovert,Ekstrovert,Benar
"Saya yang pasti belajar di sekolah dan dirumah saat malam hari dengan suasana ruangan yang hening dan nyaman. Lebih suka belajar sendiri karena lebih bisa fokus secara maksimal | Mencatat materi penting di buku tulis dan mendengarkan penjelasan orang lain | Saya lebih suka di tempat yang tenang, saya akan bersemangat jika ada teman hanya maksimal 5 | Bertanya kepada teman dan meminta bantuan kepada teman/yang lebih mengerti | Ingin mengubah dari cara belajarku dan sikapku akan mengikuti pada lingkungan yang ada",Ekstrovert,Ekstrovert,Benar
"aku biasanya belajar tu malem-malem, kalo waktunya ga tentu tapi seringnya jam 8an atau jam 9an, karna aku lebih sunyi gitu belajarnya sambil dengerin lagu, maksudnya tu berisiknya cuma lagunya gitu atau stream freetalk vtuber, dan yang pasti sendiri karna gasuka aja ramean gitu, malah jadi kurang efektif kalo menurutku  | tergantung situasi deh, kalo pas ujian sekolah aku suka nulis materinya ulang sesuai kisi-kisi sama biasanya ku tambahin materi yang menurutku susah dimengerti, kalo uh aku biasanya ngasi garis materi-materi yang sekiranya penting, kalo ada tugas kelompok biasanya enakan diskusi karna takutnya ga masuk sama materi lainnya | kondisi belajar yang paling ku suka tu ketika aku sendiri sambil dengerin lagu atau nonton stream vtuber, karna apa ya jadi lebih fokus malah kalo gitu gatau kenapa gapernah kedistract lagu/streamnya (jujur jadi tenang, ga gitu rame ga gitu sepi), 
kalau ditempat yang rame dan orang-orangnya udah kenal malah jadi semangat, tapi kalo lingkungan baru + ramai malah jadi takut kadang-kadang  | cara aku cari solusi yang sering banget itu aku tanya ke temen atau ke mantan kandungku XD karna jyujyur takut salah percaya omongan orang, tapi sebelumnya aku coba ku selesaiin sendiri dulu | yang pasti pengalamannya jadi banyak banget, kemarin bikin baju yang sebelumnya gapernah, berani solo vocal didepan banyak orang, tampil pd tanpa takut omongan orang dan masih banyak lagi, yang pengen ku rubah itu caraku berpikir kalo semuanya itu bisa instan pake ai padahal blom dicoba sendiri, dan yang ingin ku pertahankan itu adalah caraku menghitung kalo udah ngerti suatu materi, pasti sekalinya paham langsung ngerjain 20 soal pun ku jabanin",Ekstrovert,Ekstrovert,Benar
"di malam hari, tenang, saya lebih nyaman belajar sendiri | lebih sukaa di jelaskan | tenang dan hening | menenangkan diri dan mencoba menganalisis bagian mana yang belum saya pahami.  | saya adalah tipe pelajar yang mandiri namun membutuhkan struktur yang jelas. Saya belajar bahwa saya lebih efektif ketika materi disampaikan secara visual atau melalui praktik langsung.

",Introvert,Introvert,Benar
belajar bersamaa karna bisa punya relasi dan b | mandiri | belajar dimall dicaffe ditaman sangat membantu merefleksikan tubuh dan pikiran sayaa | tidak karnaa saya cenderung apa apa sendiri  | senangg happy,Ekstrovert,Ekstrovert,Benar
